rank,title,desc,runtime,genre,rating,votes,director,metascore
87,Bad Moms,"When three overworked and under-appreciated moms are pushed beyond their limits, they ditch their conventional responsibilities for a jolt of long overdue freedom, fun and comedic self-indulgence.",100,Comedy,6.2,132408,Jon Lucas,60.0
88,Independence Day: Resurgence,"Two decades after the first Independence Day invasion, Earth is faced with a new extra-Solar threat. But will mankind's new space defenses be enough?",120,Action,5.2,186308,Roland Emmerich,32.0
89,The Lost City of Z,"A true-life drama, centering on British explorer Major Percival Fawcett, who disappeared whilst searching for a mysterious city in the Amazon in the 1920s.",141,Adventure,6.6,97251,James Gray,78.0
90,A Monster Calls,"Conor, a twelve-year-old boy, encounters an ancient tree monster who proceeds to help him cope with his mother's terminal illness and being bullied in school.",108,Adventure,7.4,92065,J.A. Bayona,76.0
91,The Love Witch,"A modern-day witch uses spells and magic to get men to fall in love with her, with deadly consequences.",120,Comedy,6.2,19028,Anna Biller,82.0
92,The Edge of Seventeen,"High-school life gets even more unbearable for Nadine when her best friend, Krista, starts dating her older brother.",104,Comedy,7.3,137148,Kelly Fremon Craig,77.0
93,Pride and Prejudice and Zombies,Five sisters in 19th century England must cope with the pressures to marry while protecting themselves from a growing population of zombies.,108,Action,5.8,59340,Burr Steers,45.0
94,Lights Out,"Rebecca must unlock the terror behind her little brother's experiences that once tested her sanity, bringing her face to face with a supernatural spirit attached to their mother.",81,Horror,6.3,139459,David F. Sandberg,58.0
95,The Belko Experiment,"In a twisted social experiment, eighty Americans are locked in their high-rise corporate office in Bogotá, Colombia, and ordered by an unknown voice coming from the company's intercom system to participate in a deadly game of kill or be killed.",89,Horror,6.1,56398,Greg McLean,44.0
96,The Boy,"An American nanny is shocked that her new English family's boy is actually a life-sized doll. After she violates a list of strict rules, disturbing events make her believe that the doll is really alive.",97,Horror,6.0,100036,William Brent Bell,42.0
97,Teenage Mutant Ninja Turtles: Out of the Shadows,"The Turtles get into another battle with their enemy the Shredder, who has acquired new allies: the mutant thugs Bebop and Rocksteady and the alien being Krang.",112,Action,5.9,98253,Dave Green,40.0
98,Alice Through the Looking Glass,"Alice is appointed to save her beloved Mad Hatter from deadly grief by travelling back to the past, but this means fatally harming Time himself, the noble clockwork man with the device needed to save the Hatter's family from the Red Queen.",113,Adventure,6.2,118591,James Bobin,34.0
99,Swiss Army Man,"A hopeless man stranded on a deserted island befriends a dead body, and together they go on a surreal journey to get home.",97,Comedy,6.9,131000,Daniel Kwan,64.0
100,The Shallows,"A mere 200 yards from shore, surfer Nancy is attacked by a great white shark, with her short journey to safety becoming the ultimate contest of wills.",86,Action,6.3,141222,Jaume Collet-Serra,59.0
